"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation";"feature";"relation"
"bartangidzh";"vakhancy";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"bartangcy";"shugnancy";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"bartangcy";"jazgulemcy";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"bartangcy";"zgamik";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"bartangcy";"khugni";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"bartangcy";"rukhni";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"bartangcy";"ishkashimcy";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"bartangcy";"ishkoshumi";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"bartangcy";"rushancy";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"bartangcy";"khik/vakhi";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"bartangcy";"tadzhiki";"112786";"1989_5";"Pamir groups, Groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"bartangcy";"vakhancy";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"jazgulemcy";"shugnancy";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"shugnancy";"zgamik";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"khugni";"shugnancy";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"rukhni";"shugnancy";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"ishkashimcy";"shugnancy";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"ishkoshumi";"shugnancy";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"rushancy";"shugnancy";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"khik/vakhi";"shugnancy";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"shugnancy";"tadzhiki";"112786";"1989_5";"Pamir groups, Groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"shugnancy";"vakhancy";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"jazgulemcy";"zgamik";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"jazgulemcy";"khugni";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"jazgulemcy";"rukhni";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"ishkashimcy";"jazgulemcy";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"ishkoshumi";"jazgulemcy";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"jazgulemcy";"rushancy";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"jazgulemcy";"khik/vakhi";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"jazgulemcy";"tadzhiki";"112786";"1989_5";"Pamir groups, Groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"jazgulemcy";"vakhancy";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"khugni";"zgamik";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"rukhni";"zgamik";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"ishkashimcy";"zgamik";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"ishkoshumi";"zgamik";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"rushancy";"zgamik";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"khik/vakhi";"zgamik";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"tadzhiki";"zgamik";"112786";"1989_5";"Pamir groups, Groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"vakhancy";"zgamik";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"khugni";"rukhni";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"ishkashimcy";"khugni";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"ishkoshumi";"khugni";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"khugni";"rushancy";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"khik/vakhi";"khugni";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"khugni";"tadzhiki";"112786";"1989_5";"Pamir groups, Groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"khugni";"vakhancy";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"ishkashimcy";"rukhni";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"ishkoshumi";"rukhni";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"rukhni";"rushancy";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"khik/vakhi";"rukhni";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"rukhni";"tadzhiki";"112786";"1989_5";"Pamir groups, Groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"rukhni";"vakhancy";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"ishkashimcy";"ishkoshumi";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"ishkashimcy";"rushancy";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"ishkashimcy";"khik/vakhi";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"ishkashimcy";"tadzhiki";"112786";"1989_5";"Pamir groups, Groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"ishkashimcy";"vakhancy";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"ishkoshumi";"rushancy";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"ishkoshumi";"khik/vakhi";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"ishkoshumi";"tadzhiki";"112786";"1989_5";"Pamir groups, Groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"ishkoshumi";"vakhancy";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"khik/vakhi";"rushancy";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"rushancy";"tadzhiki";"112786";"1989_5";"Pamir groups, Groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"rushancy";"vakhancy";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"khik/vakhi";"tadzhiki";"112786";"1989_5";"Pamir groups, Groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"khik/vakhi";"vakhancy";"112786";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"tadzhiki";"vakhancy";"112786";"1989_5";"Groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"difference"
"bartangcy";"bartangidzh";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"bartangcy";"shugnancy";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"bartangcy";"jazgulemcy";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"bartangcy";"zgamik";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"bartangcy";"rushancy";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"bartangcy";"khugni";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"bartangcy";"ishkashimcy";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"bartangcy";"ishkoshumi";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"bartangcy";"vakhancy";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"bartangcy";"rukhni";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"bartangcy";"tadzhiki";"112879";"1989_5";"Pamir groups, Groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"bartangcy";"khik/vakhi";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"bartangidzh";"shugnancy";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"bartangidzh";"jazgulemcy";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"bartangidzh";"zgamik";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"bartangidzh";"rushancy";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"bartangidzh";"khugni";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"bartangidzh";"ishkashimcy";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"bartangidzh";"ishkoshumi";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"bartangidzh";"vakhancy";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"bartangidzh";"rukhni";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"bartangidzh";"tadzhiki";"112879";"1989_5";"Pamir groups, Groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"bartangidzh";"khik/vakhi";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"jazgulemcy";"shugnancy";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"shugnancy";"zgamik";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"rushancy";"shugnancy";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"khugni";"shugnancy";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"ishkashimcy";"shugnancy";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"ishkoshumi";"shugnancy";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"shugnancy";"vakhancy";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"rukhni";"shugnancy";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"shugnancy";"tadzhiki";"112879";"1989_5";"Pamir groups, Groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"khik/vakhi";"shugnancy";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"jazgulemcy";"zgamik";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"jazgulemcy";"rushancy";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"jazgulemcy";"khugni";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"ishkashimcy";"jazgulemcy";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"ishkoshumi";"jazgulemcy";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"jazgulemcy";"vakhancy";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"jazgulemcy";"rukhni";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"jazgulemcy";"tadzhiki";"112879";"1989_5";"Pamir groups, Groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"jazgulemcy";"khik/vakhi";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"rushancy";"zgamik";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"khugni";"zgamik";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"ishkashimcy";"zgamik";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"ishkoshumi";"zgamik";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"vakhancy";"zgamik";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"rukhni";"zgamik";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"tadzhiki";"zgamik";"112879";"1989_5";"Pamir groups, Groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"khik/vakhi";"zgamik";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"khugni";"rushancy";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"ishkashimcy";"rushancy";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"ishkoshumi";"rushancy";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"rushancy";"vakhancy";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"rukhni";"rushancy";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"rushancy";"tadzhiki";"112879";"1989_5";"Pamir groups, Groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"khik/vakhi";"rushancy";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"ishkashimcy";"khugni";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"ishkoshumi";"khugni";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"khugni";"vakhancy";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"khugni";"rukhni";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"khugni";"tadzhiki";"112879";"1989_5";"Pamir groups, Groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"khik/vakhi";"khugni";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"ishkashimcy";"ishkoshumi";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"ishkashimcy";"vakhancy";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"ishkashimcy";"rukhni";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"ishkashimcy";"tadzhiki";"112879";"1989_5";"Pamir groups, Groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"ishkashimcy";"khik/vakhi";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"ishkoshumi";"vakhancy";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"ishkoshumi";"rukhni";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"ishkoshumi";"tadzhiki";"112879";"1989_5";"Pamir groups, Groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"ishkoshumi";"khik/vakhi";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"rukhni";"vakhancy";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"tadzhiki";"vakhancy";"112879";"1989_5";"Pamir groups, Groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"khik/vakhi";"vakhancy";"112879";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
"rukhni";"tadzhiki";"112879";"1989_5";"Pamir groups, Groups";NA;"Factual Statement by Author";NA;"language / literaturnyj";"proximity / similarity"
